society,property_type,price,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features,property_id,sector
the lions cghs,flat,2.05,9534.0,Super Built up area 2150(199.74 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),2150.0,4,4,3,"servant room,others",7.0,West,1 to 5 Year Old,"['Sector metro station', 'Sector metro station', 'Sector 54 chowk metro station', 'Sanatan Dharm Mandir', 'Radhakrishna Shani Mandir', 'State bank ATM', 'Icici bank ATM', 'Icici bank ATM', 'Citi bank ATM', 'Indusind bank ATM', 'Surgicare Hospital Gurgaon', 'Kriti Hospital', 'Anand Hospital Gurgaon', 'pracksht hospital', 'Arunodaya Deseret Eye Hospital', 'HUDA Office Complex', 'Medisca', 'Apollo Pharmacy', 'Intellion Park', 'International Tech Park', 'Heera Fuel Station', 'HCG CNG Station', 'Hdfc bank and atm', 'State bank of india', 'Kotak mahindra bank', 'Indusind bank', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Hdfc bank & atm', 'Hdfc bank', '222', 'Pizza Hut', 'Wat-a-Burger', 'Burger Singh', 'Bikanerwala', 'Naivedyam Restaurant', 'Clock tower', 'Starbucks', ""Carl's Jr."", 'Cafe Tonini', 'Sagar Ratna', 'IILM', 'Iilm University', 'Sushant College of Arts & Architecture', 'Ansal Institute of Technology', 'Suncity School']","['4 Wardrobe', '4 Fan', '1 Exhaust Fan', '4 Geyser', '13 Light', '1 Modular Kitchen', '1 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",J70153716,sector 56
godrej,flat,2.0,8453.0,Carpet area: 2366 (219.81 sq.m.),2366.0,3,4,3+,servant room,2.0,North-East,1 to 5 Year Old,"['Vatika Town Square-INXT', 'Naurangpur Road', 'NH 48', 'Euro International School', 'Gurugram University', 'Miracles Apollo Cradle', 'Nouveau Medics Multispeciality OPD', 'Indira Gandhi Intl Airport', 'Heritage Village Resort & Spa', 'Nakhrola Stadium']","['1 Water Purifier', '5 Fan', '1 Exhaust Fan', '5 Geyser', '1 Stove', '25 Light', '4 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '9 Wardrobe', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",O69003136,sector 79
dlf regal gardens,flat,1.15,6325.0,Super Built up area 1818(168.9 sq.m.),1818.0,3,3,3+,pooja room,18.0,North-West,1 to 5 Year Old,"['SS Omnia, Sector 86', 'Numberdar market, IMT Manesar', ""Sodhi's Supermarket, Sector 82"", 'RPS International School', 'RHM Public School', 'ICICI Bank ATM, Sector 86', 'Silver Streak Multi Speciality', 'Aarvy Healthcare Super Speciality', 'Miracles Apollo Cradle Hospital', 'HDFC Bank, Pataudi Rd', 'Canara Bank - Nawada Fatehpur', 'State Bank of India', 'Minda Industries Nawada Fatehpur', 'Holiday Inn Gurugram Sector 90', 'M3M SCO Shop cum Office']","['3 Wardrobe', '1 Exhaust Fan', '3 Geyser', '14 Light', '5 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Centrally Air Conditioned', 'Maintenance Staff', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",K65532766,sector 90
unitech escape,house,12.0,37037.0,Carpet area: 360 (301.01 sq.m.),3240.0,5,6,3+,not available,3.0,East,undefined,"['Sector 55-56 Metro Station', 'Airia Mall', 'Sohna Road', 'Faridabad Gurgaon Road', 'St Xavier High School', 'Gurugram University', 'Park Hospital', 'IGI Airport', 'M3M IFC', 'Radisson Hotel Gurugram', 'SkyJumper Trampoline Park']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,sector 50
independent,house,3.15,20349.0,Plot area 172(143.81 sq.m.),1548.0,5,4,3+,store room,2.0,North-East,5 to 10 Year Old,"['Radhakrishna Shani Mandir', 'Sanatan Dharm Mandir', 'State bank ATM', 'Icici bank ATM', 'Standard chartered ATM', 'Vatsalya Clinic', 'Anand Hospital Gurgaon', 'Kriti Hospital', 'Surgicare Hospital Gurgaon', 'pracksht hospital', 'Meher Clinic', 'Bones Clinic - Orthopaedics', 'Vishesh Dental', 'Park Hospital Gurgaon', 'Neelkanth Health Care', 'Dr. Naresh Pandita', 'Arihant Hospital', 'Dr. Anuj Sharma', 'Wembley estate club', 'HUDA Office Complex', 'Medisca', 'Pernod Ricard Charitable Dispensary', 'SPAZE BUSINESS PARK', 'Unitech', 'Heera Fuel Station', 'HCG CNG Station', 'Hdfc bank', 'Hdfc bank and atm', 'Hdfc bank', '222', 'Pizza Hut', 'Madison and Pike', 'India', 'Haldiram', 'Raj Restaurant', 'Gurugram University', 'Kamla International', 'Amity Global School', 'St. Angels Sr', 'Manav Rachna School', 'Delhi Public School Primary Section', 'IILM', 'St. Angels Jr', 'Iilm University', 'Manav Rachna Swimming Pool']","['3 Wardrobe', '8 Fan', '30 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Park', 'Recently Renovated', 'Visitor Parking', 'Natural Light', 'Airy Rooms']",,sector 57
ramsons kshitij,flat,0.28,3650.0,Super Built up area 767(71.26 sq.m.),767.0,2,2,2,others,5.0,North-West,0 to 1 Year Old,"['Bangali Clinic', 'Yadav Clinic', 'Dr. J. S. Sarkar Clinic']","['1 Wardrobe', '2 Fan', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,O48320397,sector 95
experion windchants,flat,5.2,10726.0,Super Built up area 4848(450.39 sq.m.)Built Up area: 3655.35 sq.ft. (339.59 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4848.0,4,6,3+,"servant room,pooja room",15.0,East,1 to 5 Year Old,"['Ansal Plaza', 'Dwaraka Expressway', 'First Step Play School', 'Sri Ma Montessori International', 'Jai Sai Ram Hospital', 'Park Hospital', 'IGI Airport', 'Gurgaon Railway Station']","['6 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '9 Light', '6 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",O69129068,sector 112
sector 38 rwa,house,4.3,28782.0,Plot area 166(138.8 sq.m.)Built Up area: 165 sq.yards (137.96 sq.m.)Carpet area: 164 sq.yards (137.12 sq.m.),1494.0,9,9,3+,"pooja room,others",3.0,East,1 to 5 Year Old,"['Rajiv Chowk Mosque', 'Icici bank ATM', 'State bank of india ATM', 'Axis bank ATM', 'Hdfc bank ATM', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Medanta', 'Samvit Health Care', 'Sukhmani Hospital Pvt. Ltd', 'Dispencery', 'Bansal Medicare and Maternity Centre', 'Airforce Hospital', 'Pushpanjali Hospital Gurgaon', 'Pushpanjali Hospital', 'Park Hospital Gurgaon', 'Vishesh Dental', 'Neelkanth Health Care', 'Meher Clinic', 'Best Urologist Atcomplete Family Clinic', 'Smile Plus Dental Clinic', 'Wellness Eye Centre', 'Dr. Aruna Kalra', 'Dayal Eye & Maternity Centre', 'Gurgaon Election Commission', 'Road and Traffic Authority', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Gardian Pharmacy', 'Genius', 'India Oil', 'SRS Cinemas', 'Hdfc bank', 'Hdfc bank', 'Icici bank', 'KFC', 'Darbar', 'Haldiram', 'Raj Restaurant', 'Om Sweets', 'Fast food', 'Fast Food', 'Kendriya Vidyalaya No.2 Sohna Road', 'CR Model Public School', 'Delhi Public School Primary Section', 'Manav Rachna School', 'Amity Global School', 'Manav Rachna Swimming Pool']","['14 Wardrobe', '1 Water Purifier', '14 Fan', '1 Exhaust Fan', '6 Geyser', '24 Light', '6 AC', '1 Modular Kitchen', '3 Chimney', '9 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",,sector 38
bestech park view spa next,flat,2.32,11989.0,Super Built up area 1935(179.77 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),1935.0,3,4,3+,servant room,14.0,North-East,5 to 10 Year Old,"['Omaxe City Centre Mall', 'Golf Course Extension Road', ""St. Xavier's School"", 'KIIT College of Engineering', 'Ektaa Hospital', 'Indira Gandhi International Airport', 'Surajgarh Gurgaon', 'Duke Horse Riding Club', 'Radisson Hotel Gurugram', 'SkyJumper Trampoline Park', 'HUDA Mini Golf Course', 'PVR Drive In Theater']","['3 Wardrobe', '4 Fan', '1 Exhaust Fan', '7 Light', '1 Modular Kitchen', '4 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Swimming Pool', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",S69071370,sector 67
ramsons kshitij,flat,0.3,3158.0,Built Up area: 950 (88.26 sq.m.)Carpet area: 552 sq.ft. (51.28 sq.m.),950.0,2,2,1,not available,11.0,,undefined,,,,R68021924,sector 95
dlf city plots,house,26.0,57206.0,Plot area 505(422.24 sq.m.),4545.0,6,7,3+,"pooja room,study room,servant room,others",2.0,North-East,0 to 1 Year Old,"['Phase 2 Metro Station', 'Grand Mall', 'Jacaranda Marg', 'NH 148A', 'Lancers International School', 'The NorthCap University', 'RBS HOSPITAL', 'Indira Gandhi Intl Airport']","['12 Fan', '1 Exhaust Fan', '6 Geyser', '1 Stove', '32 Light', '8 AC', '1 Modular Kitchen', '1 Chimney', '10 Curtains', '10 Wardrobe', '1 Microwave', 'No Bed', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",,sector 26
ild grand centra,flat,0.95,5220.0,Built Up area: 1820 (169.08 sq.m.),1820.0,3,1,0,not available,0.0,,undefined,,,,O67903798,sector 37c
bptp amstoria,flat,1.9,8444.0,Super Built up area 2727(253.35 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),2250.0,3,3,3+,servant room,1.0,North-East,1 to 5 Year Old,"['Early Basket Grocery shop', 'Conscient One Mall', 'Dwarka Expressway', 'Imperial Heritage School', 'Yashroop Hospital', 'IGI Airport', 'Daultabad Village Park', 'Aradhya Cricket Club Gurgaon', 'Gurgaon Old Railway Station', ""Domino's Pizza"", 'Skylark Cricket Academy']","['5 Fan', '2 Geyser', '5 Light', '4 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",M69712964,sector 102
birla navya,house,3.85,15437.0,Carpet area: 2494 (231.7 sq.m.),2494.0,3,3,3+,servant room,4.0,,Within 6 months,"['Sector 54 Chowk Metro Station', 'WorldMark Gurgaon', 'Golf Course Ext Road', 'Badshahpur Sohna Rd Hwy', 'Gurgaon - Delhi Expy', 'Heritage Xperiential Learning, CRPF Rd', 'Sushant University', 'W Pratiksha Hospital', 'Indira Gandhi Intl Airport', 'Gurgaon Railway Station', 'Capital Cyberscape', 'DoubleTree by Hilton Hotel']","['1 Water Purifier', '8 Fan', '1 Exhaust Fan', '4 Geyser', '1 Stove', '12 Light', '1 Curtains', '1 Modular Kitchen', '1 Chimney', '5 AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",,sector 63
shree vardhman flora,flat,0.9,4615.0,Super Built up area 1950(181.16 sq.m.),1950.0,3,4,3,servant room,4.0,East,1 to 5 Year Old,"['IRIS Broadway Mall', 'Dwarka Expressway', 'Saraswati Model School', 'SGT University', 'Aarvy Healthcare Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Orchid Business Park', 'Holiday Inn Gurugram Sector 90', 'Flying Wings Badminton Academy']",,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",R69236068,sector 90
bestech park view grand spa,flat,4.2,10000.0,Super Built up area 4200(390.19 sq.m.)Carpet area: 2900 sq.ft. (269.42 sq.m.),4200.0,4,4,3+,servant room,25.0,South,1 to 5 Year Old,"['Sapphire 83 Mall', 'NH-8, IMT Manesar', 'Dwarka Expressway', ""St. Xavier's High School"", 'Spectra Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'Hyatt Regency Gurgaon', 'SkyJumper Trampoline Park', 'National Tennis Academy']","['4 Wardrobe', '4 Light', '7 AC', '1 Chimney', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",T69214818,sector 81
independent,house,0.42,9333.0,Built Up area: 450 (41.81 sq.m.),450.0,5,3,2,not available,2.0,,undefined,"['State bank ATM', 'Ankur Clinic and Maternity Home', 'Esic Hospital Gurugram', 'Navjeevan Hospital and Maternity Centre', 'Shiv Mahima Patient Care Bureau', 'Taneja Hospital', 'Dr. Madan Clinic', 'Mangalam Hospital and Heart Centre Gurgaon', 'Shri Gobind Hospital', 'Dev Man Kathuria Clinic', 'Lal Superspeciality Hospital', 'Pearl Dental Clinic', 'Dr. Ashok Jain', 'Satyam Hospital Gurgaon', 'Shri Multispeciality Hospital', 'Swastik Maternity and Medical Centre', 'Chiranjiv Hospital', 'Shree Krishna Hospital Gurgaon', 'Tirath Ram Hospitals Pvt Ltd', 'Bhanu Dental Care', 'Geeta Nursing Home Gurgaon', 'Kr Dental Hub', 'Sethi Hospital Gurgaon', 'Shubham Hospital Gurgaon', 'Kathuria Hospital', 'Rachna Dental Clinic', 'Parashar Hospital', 'My Care Clinic', 'Bindal Clinic', 'M.S Hospital', 'Triveni Hospital Gurgaon', 'Nangia Hospital Ent and Maternity', 'Pasricha Hospital and Maternity Home', 'Aryan Hospital', 'Vinayak Hospital Gurgaon', 'Ravi Clinic and Health Care Centre', 'Parmar Dental Clinic & Lab', 'Rama Hospital & Nursing Home', 'D.R. Rajnis Gupta Clinic', 'Nutan Dental Hospital', 'Prateek Nursing Home And Polyclinic', 'Yadav Hospital Gurgoan', 'Shri Ram Dental Clinic', 'Sai Dental Clinic', 'Hdfc bank', 'Kotak bank', 'State bank of india', 'Indian bank', 'Pizza Hut', 'St. Michaels Sr. Sec. School']",,,,sector 9
orchid petals,flat,1.9,10526.0,Carpet area: 1805 (167.69 sq.m.),1805.0,3,3,3,servant room,9.0,North-West,5 to 10 Year Old,"['Sapphire Mall', 'Omaxe City Centre', 'BigBazaar', 'Sohna Rd', 'Kinder Care Playschool', 'Kangaroo Kids Preschool', 'shiv Mandir', 'Polaris Hospital', 'Medanta Hospital', 'Artemis Hospital', 'HDFC Bank', 'Radisson Hotel', 'SRS Cinemas']","['1 Exhaust Fan', '12 Light', '3 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",Z64913346,sector 49
emaar palm gardens,flat,1.6,8648.0,Super Built up area 1850(171.87 sq.m.),1850.0,3,3,3+,"pooja room,store room,study room,servant room",6.0,East,1 to 5 Year Old,"[""V'Lante Mall"", 'NH 48 Gurugram', 'iGrow Montessori Play School', 'Matrikiran High School', 'Badsa AMS Hospital', 'GlobalHealthcare Multispeciality', 'Indira Gandhi International Airport', 'Patli Railway Station', 'Hyatt Regency', 'Nakhrola Stadium', 'Cricket Academy']","['5 Wardrobe', '8 Fan', '1 Exhaust Fan', '4 Geyser', '8 Light', '1 Chimney', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",V69577056,sector 83
signature global the millennia 3,flat,0.45,7627.0,Carpet area: 590 (54.81 sq.m.),590.0,2,3,2,not available,8.0,,Dec 2024,"['The Esplanade Mall', 'Dwarka Expressway', 'Pataudi Road', 'NH 48', 'MDS Public School', 'Nest Pre School', 'Miracles Apollo Hospital', 'IGI Airport', 'KFG Sports Club', 'Garhi harsaru Railway station', 'Holiday Inn', 'SkyJumper Trampoline Park']",,"['Lift(s)', 'Park']",L70187142,sector 37
ss the leaf,flat,2.3,8179.0,Super Built up area 2812(261.24 sq.m.),2812.0,4,4,3+,servant room,8.0,South,1 to 5 Year Old,"['Sapphire 83 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'NH 08', 'Pataudi Road', 'Delhi Public School Sector 84', 'DPG Institute of Technology', 'Genesis Hospital Sector 84', 'Indira Gandhi International Airport', 'Imt Manesar', 'Holiday Inn Hotel Sector 90', 'SkyJumper Trampoline Park', 'Nakhrola Stadium Sector 81A']","['4 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Park']",V69804904,sector 85
elevate,flat,6.75,19882.0,Built Up area: 3395 (315.41 sq.m.),3395.0,4,4,0,not available,10.0,,undefined,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,H69856042,sector 50
tata primanti,flat,5.25,15648.0,Super Built up area 3355(311.69 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2800 sq.ft. (260.13 sq.m.),3355.0,4,4,3+,servant room,30.0,North-East,0 to 1 Year Old,"['Sector 55-56 Metro Station', 'Omaxe City Centre', 'Sohna Gurgaon Road', 'Faridabad Gurgaon Road', 'Pallavan PreSchool, Sohna Road', 'RBSM Public school', 'Polaris Hospital', 'Spaze Itech Park', 'Radisson Hotel Gurugram Sohna Road', 'SkyJumper Trampoline Park Gurgaon']","['4 Wardrobe', '1 Water Purifier', '5 Fan', '1 Exhaust Fan', '6 Geyser', '1 Stove', '6 Light', '1 Modular Kitchen', '6 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",A69925374,sector 72
adani aangan galleria,flat,0.25,5000.0,Super Built up area 500(46.45 sq.m.)Built Up area: 430 sq.ft. (39.95 sq.m.)Carpet area: 410 sq.ft. (38.09 sq.m.),500.0,1,1,1,not available,6.0,,0 to 1 Year Old,"['Indian Oil', 'Essar Petrol Pump', 'Garhi harsaru junction railway station']",,"['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",P66797320,sector 89
m3m merlin,flat,2.98,14557.0,Super Built up area 2047(190.17 sq.m.),2047.0,3,3,3,others,0.0,North,1 to 5 Year Old,"['Airia Mall', 'Golf Course Extension Road', 'Alpine Convent School', 'DPG Institute of Technology', 'MKD Hospital', 'Indira Gandhi International Airport', 'Lemon Tree Hotel, Sohna Road', 'SkyJumper Trampoline Park', 'DLF Golf and Country Club', 'PVR Drive in Theatre']","['5 Wardrobe', '5 Fan', '1 Exhaust Fan', '4 Geyser', '1 Stove', '16 Light', '1 Chimney', '5 AC', '1 Modular Kitchen', '8 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",M69690192,sector 67
